passcode,route_surveyed,date,direction_id,timeperiodcode,purpose,origin_type_clean,origin_type_99_x,origin_address_coded,origin_lat,origin_lng,o_ST_785_AAZ,o_district_27,o_district_12,access_mode,access_99_x,access_walk_dist,accessparkloc_clean,accessparkloc_99_x,accesscarpoolloc_clean,accesscarpoolloc_99_x,access_bike_dist,access_park_cost_clean,access_park_freq_clean,dest_type_clean,dest_type_99_x,destination_address_coded,destination_lat,destination_lng,d_ST_785_AAZ,d_district_27,d_district_12,egress_mode,egress_99_x,egress_walk_dist,egressparkloc_clean,egressparkloc_99_x,egresscarpoolloc_clean,egresscarpoolloc_99_x,egress_bike_dist,egress_park_cost_clean,egress_park_freq_clean,board_stop_id,board_stop_name,board_stop_lat,board_stop_lon,b_ST_785_AAZ,b_district_27,b_district_12,alight_stop_id,alight_stop_name,alight_stop_lat,alight_stop_lon,a_ST_785_AAZ,a_district_27,a_district_12,fare_type_clean,fare_type_99_x,orca_emp_clean,orca_daynum_clean,children,numchildren_1_clean,numchildren_2_clean,fare_cat_clean,oneway_route_clean,oneway_all_clean,firsttimetransit,license,hhveh_clean,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_99,ethnicity_99_x,ethnicity_98,language_1,language_2,language_3,language_4,language_5,language_6,language_7,language_8,language_9,language_99,language_99_x,hhsize_clean,income_clean,route_1,route_2,route_3,route_4,total_transfers,routes_in_corridor,corridor_transfers,bad_record,board_segment,alight_segment,unlinked_weight,link_weight_factor,linked_weight,filter_$,route_surveyed2,route_new1,route_new2,route_new3,route_new4,access_new,egress_new,access_new2,egress_new2
LE26360,LINK,"Monday, November 2, 2015",0,2,1,1,,"Stewart St & 8th Ave, Seattle, WA 98101, USA",47.61499,-122.33536,100,11,9,1,,4,#NULL!,,#NULL!,,#NULL!,10,1,2,,"Rainier Ave S & S Henderson St, Seattle, WA 98118, USA",47.5233,-122.26999,462,13,6,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,3,,2,#NULL!,1,#NULL!,#NULL!,1,20,20,0,1,1,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,7,100263,100479,,,1,1,0,0,1,3,5.912296923,1,5.912296923,1,75,80,75,81,81,80,99,8,99
LE11420,LINK,"Wednesday, October 14, 2015",0,2,2,5,,"Westlake Station & Westlake Stn, 4th Ave Pine St, Seattle, WA 98101, USA",47.61203,-122.33589,136,11,9,1,,1,1,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"Rainier Ave S & S Orcas St, Seattle, WA 98118, USA",47.55118,-122.27767,182,13,6,1,,1,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,3,,2,#NULL!,1,#NULL!,#NULL!,1,5,25,0,2,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,1,1,100479,100263,,,1,1,0,0,1,3,5.912296923,1,5.912296923,1,75,75,80,81,81,1,80,1,8
LE12224,LINK,"Thursday, October 15, 2015",0,1,2,2,,"1701 Broadway, Seattle, WA 98122, USA",47.61618,-122.32143,139,10,1,1,,10,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,99,,"Mount Baker Station, Seattle, WA 98144, USA",47.57699,-122.29787,461,13,6,1,,5,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,3,,2,#NULL!,1,#NULL!,#NULL!,1,60,#NULL!,0,2,2,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,3,7,100479,,,,0,1,0,0,1,3,6.96347947,1,6.96347947,1,75,75,81,81,81,1,1,1,1
LE12225,LINK,"Thursday, October 15, 2015",0,1,2,4,,"Broadway & E Pine St, Seattle, WA 98122, USA",47.61525,-122.32079,108,10,1,1,,10,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"Martin Luther King Jr Way S & Rainier Ave S, Seattle, WA 98144, USA",47.57639,-122.29663,460,13,6,1,,4,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,1,,2,#NULL!,1,#NULL!,#NULL!,1,60,#NULL!,0,2,1,0,0,0,1,0,0,0,0,1,SPANIARD,0,1,1,0,0,0,0,0,0,0,0,,5,5,100479,,,,0,1,0,0,1,3,6.96347947,1,6.96347947,1,75,75,81,81,81,1,1,1,1
LE12236,LINK,"Thursday, October 15, 2015",0,1,2,99,GYM,"1827 Yale Ave, Seattle, WA 98101, USA",47.6179,-122.33075,106,11,9,1,,7,#NULL!,,#NULL!,,#NULL!,0,1,2,,"31st Ave S & S McClellan St, Seattle, WA 98144, USA",47.57835,-122.29298,165,13,6,1,,4,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,2,,2,4,1,#NULL!,#NULL!,1,30,#NULL!,0,1,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,5,2,100479,,,,0,1,0,0,1,3,6.96347947,1,6.96347947,1,75,75,81,81,81,1,1,1,1
LE12297,LINK,"Thursday, October 15, 2015",0,1,2,4,,"Westlake Station & Westlake Stn, 4th Ave Pine St, Seattle, WA 98101, USA",47.61203,-122.33589,136,11,9,1,,2,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"Mount Baker Station, Seattle, WA 98144, USA",47.57699,-122.29787,461,13,6,4,,#NULL!,#NULL!,,2,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,#NULL!,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,60,#NULL!,0,2,1,0,0,0,0,0,0,0,0,1,ASIAN/WHITE,0,1,0,1,0,0,0,0,0,0,0,,3,4,100479,,,,0,1,0,0,1,3,6.96347947,1,6.96347947,1,75,75,81,81,81,1,4,1,4
LE12738,LINK,"Thursday, October 15, 2015",0,2,2,5,,"600 Pine St, Seattle, WA 98101, USA",47.61288,-122.33527,136,11,9,1,,3,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"S Lander St & 30th Ave S, Seattle, WA 98144, USA",47.57965,-122.29415,460,13,6,1,,5,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,3,,2,#NULL!,1,#NULL!,#NULL!,1,6,#NULL!,0,1,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,3,11,100479,,,,0,1,0,0,1,3,5.912296923,1,5.912296923,1,75,75,81,81,81,1,1,1,1
LE13223,LINK,"Monday, October 19, 2015",0,2,1,1,,"1000 Lenora St, Seattle, WA 98121, USA",47.61817,-122.3361,100,11,9,1,,6,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"31st Ave S & S Massachusetts St, Seattle, WA 98144, USA",47.588,-122.29255,165,13,6,1,,0.5,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,1,,2,#NULL!,1,#NULL!,#NULL!,1,40,#NULL!,0,1,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,9,100479,100039,,,1,1,0,0,1,3,5.912296923,1,5.912296923,1,75,75,80,81,81,1,80,1,8
LE13224,LINK,"Monday, October 19, 2015",0,2,1,1,,"Wells Fargo Center, 999 3rd Ave, Seattle, WA 98104, USA",47.60498,-122.33425,126,11,9,1,,2,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"3430 Renton Pl S, Seattle, WA 98144, USA",47.5725,-122.2962,180,13,6,1,,5,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,1,,2,#NULL!,1,#NULL!,#NULL!,1,17,#NULL!,0,1,2,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,11,100479,,,,0,1,0,0,1,3,5.912296923,1,5.912296923,1,75,75,81,81,81,1,1,1,1
LE13230,LINK,"Monday, October 19, 2015",0,2,1,1,,"414 Olive Way, Seattle, WA 98101, USA",47.61258,-122.33804,102,11,9,99,TRAIN,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"2737 33rd Ave S, Seattle, WA 98144, USA",47.57848,-122.29088,165,13,6,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1-1108,Westlake Station - Bay C,47.611393,-122.337509,125,11,9,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,1,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,0,1,2,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,4,11,100479,100039,,,1,1,0,0,1,3,5.912296923,1,5.912296923,1,75,75,80,81,81,99,80,99,8
